"Step","Proposed_Uniform - rollout/success_rate","Proposed_Uniform - rollout/success_rate__MIN","Proposed_Uniform - rollout/success_rate__MAX","Prior_Uniform - rollout/success_rate","Prior_Uniform - rollout/success_rate__MIN","Prior_Uniform - rollout/success_rate__MAX","Prior_Strong - rollout/success_rate","Prior_Strong - rollout/success_rate__MIN","Prior_Strong - rollout/success_rate__MAX","Proposed_hard - rollout/success_rate","Proposed_hard - rollout/success_rate__MIN","Proposed_hard - rollout/success_rate__MAX","Proposed_medium2 - rollout/success_rate","Proposed_medium2 - rollout/success_rate__MIN","Proposed_medium2 - rollout/success_rate__MAX","Prior_medium2 - rollout/success_rate","Prior_medium2 - rollout/success_rate__MIN","Prior_medium2 - rollout/success_rate__MAX"
"245","0.05952381","0.05952381","0.05952381","","","","0.10227273","0.10227273","0.10227273","","","","","","","0.13636364","0.13636364","0.13636364"
"251","","","","0.1010101","0.1010101","0.1010101","","","","","","","","","","","",""
"255","","","","","","","","","","","","","0.10526316","0.10526316","0.10526316","","",""
"259","0.05952381","0.05952381","0.05952381","","","","0.10869565","0.10869565","0.10869565","","","","","","","0.13043478","0.13043478","0.13043478"
"263","0.07954545","0.07954545","0.07954545","","","","","","","","","","","","","","",""
"265","","","","0.1","0.1","0.1","","","","","","","","","","","",""
"267","","","","","","","","","","0.078947365","0.078947365","0.078947365","","","","","",""
"273","","","","","","","0.1122449","0.1122449","0.1122449","","","","","","","0.125","0.125","0.125"
"277","0.10869565","0.10869565","0.10869565","","","","","","","","","","","","","","",""
"281","","","","","","","","","","0.071428575","0.071428575","0.071428575","","","","","",""
"287","","","","","","","","","","","","","","","","0.13","0.13","0.13"
"291","0.104166664","0.104166664","0.104166664","","","","","","","","","","0.1125","0.1125","0.1125","","",""
"292","","","","0.11","0.11","0.11","","","","","","","","","","","",""
"295","","","","","","","","","","0.071428575","0.071428575","0.071428575","","","","","",""
"299","","","","","","","","","","0.09090909","0.09090909","0.09090909","","","","","",""
"300","","","","","","","0.11","0.11","0.11","","","","","","","","",""
"305","0.11","0.11","0.11","","","","","","","","","","0.10465116","0.10465116","0.10465116","","",""
"306","","","","0.11","0.11","0.11","","","","","","","","","","","",""
"313","","","","","","","","","","0.10869565","0.10869565","0.10869565","","","","","",""
"314","","","","","","","0.11","0.11","0.11","","","","","","","0.13","0.13","0.13"
"319","","","","","","","","","","","","","0.10227273","0.10227273","0.10227273","","",""
"320","","","","0.11","0.11","0.11","","","","","","","","","","","",""
"327","","","","","","","","","","0.11111111","0.11111111","0.11111111","","","","","",""
"328","","","","","","","0.12","0.12","0.12","","","","","","","0.14","0.14","0.14"
"333","","","","","","","","","","","","","0.10869565","0.10869565","0.10869565","","",""
"334","","","","0.12","0.12","0.12","","","","","","","","","","","",""
"336","0.11","0.11","0.11","","","","","","","","","","","","","","",""
"341","","","","","","","","","","0.11","0.11","0.11","","","","","",""
"342","","","","","","","0.13","0.13","0.13","","","","","","","0.14","0.14","0.14"
"347","","","","","","","","","","","","","0.10204082","0.10204082","0.10204082","","",""
"348","","","","0.14","0.14","0.14","","","","","","","","","","","",""
"350","0.11","0.11","0.11","","","","","","","","","","","","","","",""
"356","","","","","","","0.15","0.15","0.15","","","","","","","0.14","0.14","0.14"
"361","","","","","","","","","","","","","0.1","0.1","0.1","","",""
"364","0.12","0.12","0.12","","","","","","","","","","","","","","",""
"370","","","","","","","","","","","","","","","","0.17","0.17","0.17"
"378","0.12","0.12","0.12","","","","","","","","","","","","","","",""
"380","","","","","","","","","","0.12","0.12","0.12","","","","","",""
"384","","","","0.15","0.15","0.15","","","","","","","","","","0.18","0.18","0.18"
"392","0.15","0.15","0.15","","","","0.16","0.16","0.16","","","","0.11","0.11","0.11","","",""
"394","","","","","","","","","","0.12","0.12","0.12","","","","","",""
"396","","","","","","","0.16","0.16","0.16","","","","","","","","",""
"398","","","","0.15","0.15","0.15","","","","","","","","","","","",""
"400","","","","","","","0.16","0.16","0.16","","","","","","","","",""
"406","","","","","","","","","","","","","0.13","0.13","0.13","","",""
"408","","","","","","","","","","0.12","0.12","0.12","","","","","",""
"412","","","","0.16","0.16","0.16","","","","0.11","0.11","0.11","","","","","",""
"414","","","","","","","0.18","0.18","0.18","","","","","","","","",""
"420","","","","","","","","","","","","","0.12","0.12","0.12","0.18","0.18","0.18"
"426","","","","0.16","0.16","0.16","","","","","","","","","","","",""
"428","0.16","0.16","0.16","","","","0.18","0.18","0.18","","","","","","","","",""
"432","0.17","0.17","0.17","","","","","","","","","","","","","","",""
"434","","","","","","","","","","","","","0.13","0.13","0.13","0.18","0.18","0.18"
"442","","","","","","","0.16","0.16","0.16","","","","","","","","",""
"445","","","","0.17","0.17","0.17","","","","","","","","","","","",""
"446","0.2","0.2","0.2","","","","","","","","","","","","","","",""
"448","","","","","","","","","","0.11","0.11","0.11","0.13","0.13","0.13","0.18","0.18","0.18"
"452","","","","","","","","","","0.11","0.11","0.11","","","","","",""
"456","","","","","","","","","","0.11","0.11","0.11","","","","","",""
"459","","","","0.18","0.18","0.18","","","","","","","","","","","",""
"460","0.21","0.21","0.21","","","","","","","","","","","","","","",""
"461","","","","","","","0.16","0.16","0.16","","","","","","","","",""
"470","","","","","","","","","","0.12","0.12","0.12","","","","","",""
"473","","","","0.18","0.18","0.18","","","","","","","","","","","",""
"474","0.2","0.2","0.2","","","","","","","","","","","","","","",""
"475","","","","","","","0.15","0.15","0.15","","","","","","","0.15","0.15","0.15"
"482","","","","","","","","","","","","","0.12","0.12","0.12","","",""
"484","","","","","","","","","","0.12","0.12","0.12","","","","","",""
"486","","","","","","","","","","","","","0.11","0.11","0.11","","",""
"487","","","","0.18","0.18","0.18","","","","","","","","","","","",""
"489","","","","","","","0.14","0.14","0.14","","","","","","","0.16","0.16","0.16"
"500","","","","","","","","","","","","","0.11","0.11","0.11","","",""
"501","0.2","0.2","0.2","0.18","0.18","0.18","","","","","","","","","","","",""
"503","","","","","","","0.16","0.16","0.16","","","","","","","0.16","0.16","0.16"
"511","","","","","","","","","","0.12","0.12","0.12","","","","","",""
"514","","","","","","","","","","","","","0.11","0.11","0.11","","",""
"515","0.21","0.21","0.21","0.19","0.19","0.19","","","","","","","","","","","",""
"517","","","","","","","0.19","0.19","0.19","","","","","","","0.14","0.14","0.14"
"528","","","","","","","","","","","","","0.11","0.11","0.11","","",""
"529","","","","0.21","0.21","0.21","","","","","","","","","","","",""
"531","","","","","","","0.2","0.2","0.2","","","","","","","0.15","0.15","0.15"
