"Step","Proposed_Uniform - rollout/ep_rew_mean","Proposed_Uniform - rollout/ep_rew_mean__MIN","Proposed_Uniform - rollout/ep_rew_mean__MAX","Prior_Uniform - rollout/ep_rew_mean","Prior_Uniform - rollout/ep_rew_mean__MIN","Prior_Uniform - rollout/ep_rew_mean__MAX","Prior_Strong - rollout/ep_rew_mean","Prior_Strong - rollout/ep_rew_mean__MIN","Prior_Strong - rollout/ep_rew_mean__MAX","Proposed_hard - rollout/ep_rew_mean","Proposed_hard - rollout/ep_rew_mean__MIN","Proposed_hard - rollout/ep_rew_mean__MAX","Proposed_medium2 - rollout/ep_rew_mean","Proposed_medium2 - rollout/ep_rew_mean__MIN","Proposed_medium2 - rollout/ep_rew_mean__MAX","Prior_medium2 - rollout/ep_rew_mean","Prior_medium2 - rollout/ep_rew_mean__MIN","Prior_medium2 - rollout/ep_rew_mean__MAX"
"198","","","","","","","-162.17651","-162.17651","-162.17651","","","","","","","","",""
"201","","","","","","","","","","","","","-158.98071","-158.98071","-158.98071","","",""
"204","-158.31291","-158.31291","-158.31291","-151.73349","-151.73349","-151.73349","","","","","","","","","","","",""
"212","","","","","","","","","","-142.27977","-142.27977","-142.27977","","","","","",""
"216","","","","","","","","","","","","","","","","-148.53064","-148.53064","-148.53064"
"218","","","","-151.73349","-151.73349","-151.73349","","","","","","","","","","","",""
"222","","","","-150.34448","-150.34448","-150.34448","","","","","","","","","","","",""
"226","","","","","","","-159.33086","-159.33086","-159.33086","-139.35855","-139.35855","-139.35855","","","","","",""
"228","","","","","","","","","","","","","-155.57506","-155.57506","-155.57506","","",""
"230","-153.7734","-153.7734","-153.7734","","","","","","","","","","","","","-144.86024","-144.86024","-144.86024"
"236","","","","-145.44193","-145.44193","-145.44193","","","","","","","","","","","",""
"240","","","","","","","-159.33086","-159.33086","-159.33086","-139.35855","-139.35855","-139.35855","","","","","",""
"242","","","","","","","","","","","","","-156.28561","-156.28561","-156.28561","","",""
"244","-151.7492","-151.7492","-151.7492","","","","-158.64352","-158.64352","-158.64352","","","","","","","-143.90672","-143.90672","-143.90672"
"250","","","","-143.42262","-143.42262","-143.42262","","","","","","","","","","","",""
"254","","","","","","","","","","","","","-157.27257","-157.27257","-157.27257","","",""
"258","-151.7492","-151.7492","-151.7492","","","","-155.49454","-155.49454","-155.49454","","","","","","","-142.38914","-142.38914","-142.38914"
"262","-146.01297","-146.01297","-146.01297","","","","","","","","","","","","","","",""
"264","","","","-142.9807","-142.9807","-142.9807","","","","","","","","","","","",""
"266","","","","","","","","","","-138.98004","-138.98004","-138.98004","","","","","",""
"272","","","","","","","-150.74165","-150.74165","-150.74165","","","","","","","-141.17896","-141.17896","-141.17896"
"276","-137.99878","-137.99878","-137.99878","","","","","","","","","","","","","","",""
"280","","","","","","","","","","-136.97177","-136.97177","-136.97177","","","","","",""
"286","","","","","","","","","","","","","","","","-137.22609","-137.22609","-137.22609"
"290","-138.04558","-138.04558","-138.04558","","","","","","","","","","-154.63496","-154.63496","-154.63496","","",""
"291","","","","-138.19576","-138.19576","-138.19576","","","","","","","","","","","",""
"294","","","","","","","","","","-136.97177","-136.97177","-136.97177","","","","","",""
"298","","","","","","","","","","-130.49489","-130.49489","-130.49489","","","","","",""
"299","","","","","","","-149.65251","-149.65251","-149.65251","","","","","","","","",""
"304","-134.34035","-134.34035","-134.34035","","","","","","","","","","-154.15111","-154.15111","-154.15111","","",""
"305","","","","-128.09256","-128.09256","-128.09256","","","","","","","","","","","",""
"312","","","","","","","","","","-125.22054","-125.22054","-125.22054","","","","","",""
"313","","","","","","","-145.83563","-145.83563","-145.83563","","","","","","","-133.42305","-133.42305","-133.42305"
"318","","","","","","","","","","","","","-153.23894","-153.23894","-153.23894","","",""
"319","","","","-126.536804","-126.536804","-126.536804","","","","","","","","","","","",""
"326","","","","","","","","","","-125.21858","-125.21858","-125.21858","","","","","",""
"327","","","","","","","-133.1956","-133.1956","-133.1956","","","","","","","-124.280426","-124.280426","-124.280426"
"332","","","","","","","","","","","","","-149.43219","-149.43219","-149.43219","","",""
"333","","","","-118.60287","-118.60287","-118.60287","","","","","","","","","","","",""
"335","-130.91405","-130.91405","-130.91405","","","","","","","","","","","","","","",""
"340","","","","","","","","","","-127.43189","-127.43189","-127.43189","","","","","",""
