"Step","Proposed_Uniform - rollout/ep_rew_mean","Proposed_Uniform - rollout/ep_rew_mean__MIN","Proposed_Uniform - rollout/ep_rew_mean__MAX","Prior_Uniform - rollout/ep_rew_mean","Prior_Uniform - rollout/ep_rew_mean__MIN","Prior_Uniform - rollout/ep_rew_mean__MAX","Prior_Strong - rollout/ep_rew_mean","Prior_Strong - rollout/ep_rew_mean__MIN","Prior_Strong - rollout/ep_rew_mean__MAX","Proposed_hard - rollout/ep_rew_mean","Proposed_hard - rollout/ep_rew_mean__MIN","Proposed_hard - rollout/ep_rew_mean__MAX","Proposed_medium2 - rollout/ep_rew_mean","Proposed_medium2 - rollout/ep_rew_mean__MIN","Proposed_medium2 - rollout/ep_rew_mean__MAX","Prior_medium2 - rollout/ep_rew_mean","Prior_medium2 - rollout/ep_rew_mean__MIN","Prior_medium2 - rollout/ep_rew_mean__MAX"
"20649","","","","15.255534","15.255534","15.255534","-32.700535","-32.700535","-32.700535","","","","","","","","",""
"20655","","","","","","","","","","59.6417","59.6417","59.6417","0.5027916","0.5027916","0.5027916","","",""
"20656","28.523855","28.523855","28.523855","","","","","","","","","","","","","","",""
"20660","","","","","","","","","","","","","","","","-28.177183","-28.177183","-28.177183"
"20663","","","","16.972212","16.972212","16.972212","","","","","","","","","","","",""
"20669","","","","","","","","","","65.478386","65.478386","65.478386","3.0139692","3.0139692","3.0139692","","",""
"20674","","","","","","","","","","","","","","","","-23.840492","-23.840492","-23.840492"
"20676","","","","","","","-30.63014","-30.63014","-30.63014","","","","","","","","",""
"20683","","","","","","","","","","61.40973","61.40973","61.40973","","","","","",""
"20688","","","","","","","","","","","","","","","","-29.508286","-29.508286","-29.508286"
"20690","","","","9.124331","9.124331","9.124331","-28.331516","-28.331516","-28.331516","","","","","","","","",""
"20692","33.75193","33.75193","33.75193","","","","","","","","","","","","","","",""
"20696","","","","","","","","","","","","","9.30908","9.30908","9.30908","","",""
"20697","","","","","","","","","","59.999973","59.999973","59.999973","","","","","",""
"20702","","","","","","","","","","","","","","","","-29.29731","-29.29731","-29.29731"
"20704","","","","9.561543","9.561543","9.561543","-28.210348","-28.210348","-28.210348","","","","","","","","",""
"20706","39.501804","39.501804","39.501804","","","","","","","","","","","","","","",""
"20711","","","","","","","","","","59.68861","59.68861","59.68861","","","","","",""
"20716","","","","","","","","","","","","","","","","-24.892353","-24.892353","-24.892353"
"20718","","","","7.1722755","7.1722755","7.1722755","-29.101088","-29.101088","-29.101088","","","","","","","","",""
"20724","","","","","","","","","","","","","16.022167","16.022167","16.022167","","",""
"20725","","","","","","","","","","60.06787","60.06787","60.06787","","","","","",""
"20730","","","","","","","","","","","","","","","","-21.669146","-21.669146","-21.669146"
"20732","","","","7.0962205","7.0962205","7.0962205","-30.86509","-30.86509","-30.86509","","","","","","","","",""
"20733","43.525715","43.525715","43.525715","","","","","","","","","","","","","","",""
"20738","","","","","","","","","","","","","14.839135","14.839135","14.839135","","",""
"20746","","","","1.1288792","1.1288792","1.1288792","-33.744587","-33.744587","-33.744587","","","","","","","","",""
"20747","45.69727","45.69727","45.69727","","","","","","","","","","","","","","",""
"20749","","","","","","","","","","","","","","","","-24.774578","-24.774578","-24.774578"
"20752","","","","","","","","","","54.626244","54.626244","54.626244","15.149798","15.149798","15.149798","","",""
"20760","","","","2.3702166","2.3702166","2.3702166","-34.980625","-34.980625","-34.980625","","","","","","","","",""
"20761","43.477585","43.477585","43.477585","","","","","","","","","","","","","","",""
"20763","","","","","","","","","","","","","","","","-22.72175","-22.72175","-22.72175"
"20766","","","","","","","","","","","","","20.108263","20.108263","20.108263","","",""
"20774","","","","1.5005641","1.5005641","1.5005641","-35.96102","-35.96102","-35.96102","","","","","","","","",""
"20775","39.07879","39.07879","39.07879","","","","","","","","","","","","","","",""
"20777","","","","","","","","","","","","","","","","-22.465044","-22.465044","-22.465044"
"20780","","","","","","","","","","","","","21.609972","21.609972","21.609972","","",""
"20787","","","","","","","","","","51.77497","51.77497","51.77497","","","","","",""
"20788","","","","-2.995346","-2.995346","-2.995346","-33.55615","-33.55615","-33.55615","","","","","","","","",""
"20789","43.4019","43.4019","43.4019","","","","","","","","","","","","","","",""
"20791","","","","","","","","","","","","","","","","-24.743578","-24.743578","-24.743578"
"20794","","","","","","","","","","","","","26.288084","26.288084","26.288084","","",""
"20801","","","","","","","","","","54.564148","54.564148","54.564148","","","","","",""
"20802","","","","-2.6141415","-2.6141415","-2.6141415","-33.329388","-33.329388","-33.329388","","","","","","","","",""
"20803","43.922363","43.922363","43.922363","","","","","","","","","","","","","","",""
"20805","","","","","","","","","","","","","","","","-29.458359","-29.458359","-29.458359"
"20808","","","","","","","","","","","","","24.175442","24.175442","24.175442","","",""
"20815","","","","","","","","","","51.819134","51.819134","51.819134","","","","","",""
"20816","","","","-3.9471722","-3.9471722","-3.9471722","","","","","","","","","","","",""
"20822","","","","","","","","","","","","","17.875072","17.875072","17.875072","","",""
"20829","","","","","","","","","","49.650566","49.650566","49.650566","","","","","",""
"20830","","","","-3.4425943","-3.4425943","-3.4425943","","","","","","","","","","","",""
"20831","37.872932","37.872932","37.872932","","","","","","","","","","","","","","",""
"20838","","","","","","","-31.994501","-31.994501","-31.994501","","","","","","","","",""
"20841","","","","","","","","","","","","","","","","-35.66208","-35.66208","-35.66208"
"20843","","","","","","","","","","52.4071","52.4071","52.4071","","","","","",""
"20845","35.756397","35.756397","35.756397","","","","","","","","","","","","","","",""
"20850","","","","","","","","","","","","","17.211504","17.211504","17.211504","","",""
"20855","","","","","","","","","","","","","","","","-34.756447","-34.756447","-34.756447"
"20857","","","","","","","-36.55041","-36.55041","-36.55041","52.726093","52.726093","52.726093","","","","","",""
"20859","41.9964","41.9964","41.9964","","","","","","","","","","","","","","",""
"20864","","","","","","","","","","","","","12.335761","12.335761","12.335761","","",""
"20869","","","","","","","","","","","","","","","","-30.07756","-30.07756","-30.07756"
"20871","","","","","","","-40.687054","-40.687054","-40.687054","51.33318","51.33318","51.33318","","","","","",""
"20873","45.003616","45.003616","45.003616","","","","","","","","","","","","","","",""
"20878","","","","","","","","","","","","","11.22572","11.22572","11.22572","","",""
"20880","","","","0.71924293","0.71924293","0.71924293","","","","","","","","","","","",""
"20883","","","","","","","","","","","","","","","","-29.95246","-29.95246","-29.95246"
"20885","","","","","","","-44.840225","-44.840225","-44.840225","","","","","","","","",""
"20887","48.9655","48.9655","48.9655","","","","","","","","","","","","","","",""
"20892","","","","","","","","","","","","","9.886967","9.886967","9.886967","","",""
"20894","","","","0.24553478","0.24553478","0.24553478","","","","","","","","","","","",""
"20899","","","","","","","-46.488113","-46.488113","-46.488113","","","","","","","","",""
"20901","42.065784","42.065784","42.065784","","","","","","","","","","","","","","",""
"20902","","","","","","","","","","","","","","","","-25.67438","-25.67438","-25.67438"
"20907","","","","","","","","","","43.63304","43.63304","43.63304","","","","","",""
"20908","","","","-7.8848805","-7.8848805","-7.8848805","","","","","","","","","","","",""
"20913","","","","","","","-43.178947","-43.178947","-43.178947","","","","","","","","",""
"20915","46.751255","46.751255","46.751255","","","","","","","","","","","","","","",""
"20916","","","","","","","","","","","","","","","","-31.843296","-31.843296","-31.843296"
"20919","","","","","","","","","","","","","15.720545","15.720545","15.720545","","",""
"20921","","","","","","","","","","41.229965","41.229965","41.229965","","","","","",""
"20922","","","","-5.5057063","-5.5057063","-5.5057063","","","","","","","","","","","",""
"20927","","","","","","","-40.879574","-40.879574","-40.879574","","","","","","","","",""
"20930","","","","","","","","","","","","","","","","-35.071743","-35.071743","-35.071743"
"20933","","","","","","","","","","","","","20.233173","20.233173","20.233173","","",""
"20935","","","","","","","","","","48.546124","48.546124","48.546124","","","","","",""
"20936","","","","-7.800911","-7.800911","-7.800911","","","","","","","","","","","",""
"20941","","","","","","","-40.5158","-40.5158","-40.5158","","","","","","","","",""
"20942","40.329544","40.329544","40.329544","","","","","","","","","","","","","","",""
"20944","","","","","","","","","","","","","","","","-31.046902","-31.046902","-31.046902"
"20949","","","","","","","","","","47.02971","47.02971","47.02971","","","","","",""
"20950","","","","-11.928811","-11.928811","-11.928811","","","","","","","","","","","",""
"20955","","","","","","","-42.41139","-42.41139","-42.41139","","","","","","","","",""
"20958","","","","","","","","","","","","","","","","-25.531076","-25.531076","-25.531076"
"20963","","","","","","","","","","43.195675","43.195675","43.195675","","","","","",""
"20964","","","","-11.0592985","-11.0592985","-11.0592985","","","","","","","","","","","",""
"20969","","","","","","","-41.181484","-41.181484","-41.181484","","","","23.878502","23.878502","23.878502","","",""
"20972","","","","","","","","","","","","","","","","-27.317072","-27.317072","-27.317072"
"20977","","","","","","","","","","43.162384","43.162384","43.162384","","","","","",""
"20978","","","","-13.384207","-13.384207","-13.384207","","","","","","","","","","","",""
"20979","39.952007","39.952007","39.952007","","","","","","","","","","","","","","",""
"20983","","","","","","","","","","","","","25.434347","25.434347","25.434347","","",""
"20986","","","","","","","","","","","","","","","","-18.903214","-18.903214","-18.903214"
"20992","","","","-17.41948","-17.41948","-17.41948","","","","","","","","","","","",""
"20993","43.760178","43.760178","43.760178","","","","","","","","","","","","","","",""
"20997","","","","","","","","","","","","","18.73136","18.73136","18.73136","","",""
"21000","","","","","","","","","","","","","","","","-13.982508","-13.982508","-13.982508"
"21004","","","","","","","","","","42.356636","42.356636","42.356636","","","","","",""
"21006","","","","-18.533989","-18.533989","-18.533989","","","","","","","","","","","",""
"21007","42.21227","42.21227","42.21227","","","","","","","","","","","","","","",""
"21011","","","","","","","-47.989117","-47.989117","-47.989117","","","","20.2533","20.2533","20.2533","","",""
"21014","","","","","","","","","","","","","","","","-13.758532","-13.758532","-13.758532"
"21018","","","","","","","","","","47.88089","47.88089","47.88089","","","","","",""
"21020","","","","-14.828719","-14.828719","-14.828719","","","","","","","","","","","",""
"21021","42.811863","42.811863","42.811863","","","","","","","","","","","","","","",""
"21025","","","","","","","-56.333874","-56.333874","-56.333874","","","","22.209007","22.209007","22.209007","","",""
"21028","","","","","","","","","","","","","","","","-14.616323","-14.616323","-14.616323"
"21032","","","","","","","","","","49.955925","49.955925","49.955925","","","","","",""
"21034","","","","-21.113754","-21.113754","-21.113754","","","","","","","","","","","",""
"21035","38.788948","38.788948","38.788948","","","","","","","","","","","","","","",""
"21039","","","","","","","-62.70865","-62.70865","-62.70865","","","","17.101154","17.101154","17.101154","","",""
"21046","","","","","","","","","","56.114754","56.114754","56.114754","","","","","",""
"21049","38.49265","38.49265","38.49265","","","","","","","","","","","","","","",""
"21053","","","","","","","-55.325176","-55.325176","-55.325176","","","","16.101515","16.101515","16.101515","","",""
"21061","","","","-22.085459","-22.085459","-22.085459","","","","","","","","","","","",""
"21063","43.337555","43.337555","43.337555","","","","","","","","","","","","","","",""
"21064","","","","","","","","","","","","","","","","-22.027386","-22.027386","-22.027386"
"21067","","","","","","","-57.52205","-57.52205","-57.52205","","","","","","","","",""
"21074","","","","","","","","","","52.499954","52.499954","52.499954","","","","","",""
"21075","","","","-26.2328","-26.2328","-26.2328","","","","","","","","","","","",""
"21077","42.363506","42.363506","42.363506","","","","","","","","","","","","","","",""
"21078","","","","","","","","","","","","","","","","-24.900745","-24.900745","-24.900745"
"21081","","","","","","","-59.219463","-59.219463","-59.219463","","","","","","","","",""
"21088","","","","","","","","","","49.586143","49.586143","49.586143","","","","","",""
"21089","","","","-26.62324","-26.62324","-26.62324","","","","","","","21.251812","21.251812","21.251812","","",""
"21091","42.76026","42.76026","42.76026","","","","","","","","","","","","","","",""
"21095","","","","","","","-60.59983","-60.59983","-60.59983","","","","","","","","",""
"21102","","","","","","","","","","43.98728","43.98728","43.98728","","","","","",""
"21103","","","","","","","","","","","","","17.373352","17.373352","17.373352","","",""
"21105","","","","","","","","","","","","","","","","-16.426668","-16.426668","-16.426668"
"21109","","","","","","","-57.851536","-57.851536","-57.851536","","","","","","","","",""
"21116","","","","","","","","","","47.308025","47.308025","47.308025","","","","","",""
"21117","","","","","","","","","","","","","13.505552","13.505552","13.505552","","",""
"21119","39.851852","39.851852","39.851852","","","","","","","","","","","","","-11.069828","-11.069828","-11.069828"
"21123","","","","-23.481396","-23.481396","-23.481396","-64.28218","-64.28218","-64.28218","","","","","","","","",""
"21130","","","","","","","","","","49.294228","49.294228","49.294228","","","","","",""
"21133","36.855553","36.855553","36.855553","","","","","","","","","","","","","-13.864008","-13.864008","-13.864008"
"21137","","","","-21.977427","-21.977427","-21.977427","-70.113594","-70.113594","-70.113594","","","","","","","","",""
"21144","","","","","","","","","","50.522396","50.522396","50.522396","9.323957","9.323957","9.323957","","",""
"21147","35.782677","35.782677","35.782677","","","","","","","","","","","","","-19.12325","-19.12325","-19.12325"
"21151","","","","-25.291943","-25.291943","-25.291943","","","","","","","","","","","",""
"21156","","","","","","","-74.10164","-74.10164","-74.10164","","","","","","","","",""
"21158","","","","","","","","","","47.795143","47.795143","47.795143","6.7684484","6.7684484","6.7684484","","",""
"21161","","","","","","","","","","","","","","","","-20.975218","-20.975218","-20.975218"
"21165","","","","-23.79438","-23.79438","-23.79438","","","","","","","","","","","",""
"21170","","","","","","","-67.53475","-67.53475","-67.53475","","","","","","","","",""
"21172","","","","","","","","","","52.0218","52.0218","52.0218","3.3903563","3.3903563","3.3903563","","",""
"21174","37.490105","37.490105","37.490105","","","","","","","","","","","","","","",""
"21175","","","","","","","","","","","","","","","","-15.635551","-15.635551","-15.635551"
"21179","","","","-25.852018","-25.852018","-25.852018","","","","","","","","","","","",""
"21186","","","","","","","","","","","","","5.262021","5.262021","5.262021","","",""
"21188","35.110405","35.110405","35.110405","","","","","","","","","","","","","","",""
"21189","","","","","","","","","","","","","","","","-9.186951","-9.186951","-9.186951"
"21193","","","","-22.453678","-22.453678","-22.453678","","","","","","","","","","","",""
"21200","","","","","","","","","","57.37018","57.37018","57.37018","0.44838342","0.44838342","0.44838342","","",""
"21202","39.180347","39.180347","39.180347","","","","","","","","","","","","","","",""
"21203","","","","","","","","","","","","","","","","-12.879285","-12.879285","-12.879285"
"21206","","","","","","","-72.79965","-72.79965","-72.79965","","","","","","","","",""
"21207","","","","-17.667332","-17.667332","-17.667332","","","","","","","","","","","",""
"21214","","","","","","","","","","52.72019","52.72019","52.72019","2.2855408","2.2855408","2.2855408","","",""
"21217","","","","","","","","","","","","","","","","-10.973555","-10.973555","-10.973555"
"21220","","","","","","","-79.17187","-79.17187","-79.17187","","","","","","","","",""
"21221","","","","-27.54898","-27.54898","-27.54898","","","","","","","","","","","",""
"21231","","","","","","","","","","","","","","","","-9.233881","-9.233881","-9.233881"
"21234","","","","","","","-75.738045","-75.738045","-75.738045","","","","","","","","",""
"21238","34.689507","34.689507","34.689507","","","","","","","","","","","","","","",""
"21240","","","","-30.550203","-30.550203","-30.550203","","","","","","","","","","","",""
"21241","","","","","","","","","","54.041733","54.041733","54.041733","","","","","",""
"21242","","","","","","","","","","","","","2.185115","2.185115","2.185115","","",""
"21245","","","","","","","","","","","","","","","","-6.4935374","-6.4935374","-6.4935374"
"21248","","","","","","","-75.62858","-75.62858","-75.62858","","","","","","","","",""
"21252","35.091732","35.091732","35.091732","","","","","","","","","","","","","","",""
"21254","","","","-29.493282","-29.493282","-29.493282","","","","","","","","","","","",""
"21255","","","","","","","","","","53.584705","53.584705","53.584705","","","","","",""
"21256","","","","","","","","","","","","","7.302735","7.302735","7.302735","","",""
"21262","","","","","","","-69.40751","-69.40751","-69.40751","","","","","","","","",""
"21266","37.00195","37.00195","37.00195","","","","","","","","","","","","","","",""
"21268","","","","-33.893","-33.893","-33.893","","","","","","","","","","","",""
"21269","","","","","","","","","","53.90847","53.90847","53.90847","","","","","",""
"21270","","","","","","","","","","","","","13.893535","13.893535","13.893535","","",""
"21276","","","","","","","-65.9","-65.9","-65.9","","","","","","","","",""
"21280","39.008183","39.008183","39.008183","","","","","","","","","","","","","","",""
"21282","","","","-37.66498","-37.66498","-37.66498","","","","","","","","","","","",""
"21283","","","","","","","","","","53.80549","53.80549","53.80549","","","","","",""
"21284","","","","","","","","","","","","","16.09654","16.09654","16.09654","","",""
"21290","","","","","","","-62.915","-62.915","-62.915","","","","","","","","",""
"21294","34.881603","34.881603","34.881603","","","","","","","","","","","","","","",""
"21295","","","","","","","","","","","","","","","","-8.355745","-8.355745","-8.355745"
"21297","","","","","","","","","","51.449326","51.449326","51.449326","","","","","",""
"21298","","","","","","","","","","","","","20.722212","20.722212","20.722212","","",""
"21304","","","","","","","-56.794952","-56.794952","-56.794952","","","","","","","","",""
"21308","35.295162","35.295162","35.295162","","","","","","","","","","","","","","",""
"21309","","","","","","","","","","","","","","","","-9.232075","-9.232075","-9.232075"
"21310","","","","-31.660292","-31.660292","-31.660292","","","","","","","","","","","",""
"21312","","","","","","","","","","","","","23.643093","23.643093","23.643093","","",""
"21322","38.372272","38.372272","38.372272","","","","","","","","","","","","","","",""
"21323","","","","","","","","","","","","","","","","-9.332214","-9.332214","-9.332214"
"21324","","","","-33.863308","-33.863308","-33.863308","","","","","","","","","","","",""
"21326","","","","","","","","","","","","","19.185514","19.185514","19.185514","","",""
"21331","","","","","","","-56.683407","-56.683407","-56.683407","","","","","","","","",""
"21333","","","","","","","","","","56.526257","56.526257","56.526257","","","","","",""
"21336","38.85884","38.85884","38.85884","","","","","","","","","","","","","","",""
"21337","","","","","","","","","","","","","","","","-0.57822317","-0.57822317","-0.57822317"
"21338","","","","-36.109352","-36.109352","-36.109352","","","","","","","","","","","",""
"21345","","","","","","","-56.85277","-56.85277","-56.85277","","","","","","","","",""
"21347","","","","","","","","","","59.066498","59.066498","59.066498","","","","","",""
"21350","38.87394","38.87394","38.87394","","","","","","","","","","","","","","",""
"21351","","","","","","","","","","","","","","","","1.379154","1.379154","1.379154"
"21352","","","","-35.579216","-35.579216","-35.579216","","","","","","","","","","","",""
"21359","","","","","","","-58.641216","-58.641216","-58.641216","","","","","","","","",""
"21361","","","","","","","","","","51.11111","51.11111","51.11111","","","","","",""
"21365","","","","","","","","","","","","","","","","0.76836526","0.76836526","0.76836526"
"21366","","","","-37.99333","-37.99333","-37.99333","","","","","","","","","","","",""
"21368","","","","","","","","","","","","","21.591293","21.591293","21.591293","","",""
"21373","","","","","","","-54.941383","-54.941383","-54.941383","","","","","","","","",""
"21375","","","","","","","","","","48.49788","48.49788","48.49788","","","","","",""
"21379","","","","","","","","","","","","","","","","-4.718354","-4.718354","-4.718354"
"21380","","","","-39.076267","-39.076267","-39.076267","","","","","","","","","","","",""
"21382","","","","","","","","","","","","","24.438492","24.438492","24.438492","","",""
"21386","39.88602","39.88602","39.88602","","","","","","","","","","","","","","",""
"21387","","","","","","","-58.065723","-58.065723","-58.065723","","","","","","","","",""
"21389","","","","","","","","","","50.27808","50.27808","50.27808","","","","","",""
"21393","","","","","","","","","","","","","","","","-3.2390735","-3.2390735","-3.2390735"
"21396","","","","","","","","","","","","","22.459606","22.459606","22.459606","","",""
"21399","","","","-40.79946","-40.79946","-40.79946","","","","","","","","","","","",""
"21400","41.890003","41.890003","41.890003","","","","","","","","","","","","","","",""
"21403","","","","","","","","","","45.10604","45.10604","45.10604","","","","","",""
"21407","","","","","","","","","","","","","","","","-7.7773705","-7.7773705","-7.7773705"
"21410","","","","","","","","","","","","","22.15358","22.15358","22.15358","","",""
"21413","","","","-44.15081","-44.15081","-44.15081","","","","","","","","","","","",""
"21414","37.914474","37.914474","37.914474","","","","","","","","","","","","","","",""
"21415","","","","","","","-54.60306","-54.60306","-54.60306","","","","","","","","",""
"21417","","","","","","","","","","40.255608","40.255608","40.255608","","","","","",""
"21421","","","","","","","","","","","","","","","","-6.7162313","-6.7162313","-6.7162313"
"21424","","","","","","","","","","","","","26.736109","26.736109","26.736109","","",""
"21427","","","","-42.403347","-42.403347","-42.403347","","","","","","","","","","","",""
"21429","","","","","","","-54.495235","-54.495235","-54.495235","","","","","","","","",""
"21435","","","","","","","","","","","","","","","","-9.230379","-9.230379","-9.230379"
"21438","","","","","","","","","","","","","23.008314","23.008314","23.008314","","",""
"21441","45.920002","45.920002","45.920002","-43.32257","-43.32257","-43.32257","","","","","","","","","","","",""
"21443","","","","","","","-53.86241","-53.86241","-53.86241","","","","","","","","",""
"21449","","","","","","","","","","","","","","","","-14.755991","-14.755991","-14.755991"
"21452","","","","","","","","","","","","","25.830786","25.830786","25.830786","","",""
"21455","45.962","45.962","45.962","-40.018517","-40.018517","-40.018517","","","","","","","","","","","",""
"21457","","","","","","","-57.530834","-57.530834","-57.530834","","","","","","","","",""
"21458","","","","","","","","","","39.592678","39.592678","39.592678","","","","","",""
"21466","","","","","","","","","","","","","26.83353","26.83353","26.83353","","",""
"21469","48.208755","48.208755","48.208755","-37.611843","-37.611843","-37.611843","","","","","","","","","","","",""
"21471","","","","","","","-53.359123","-53.359123","-53.359123","","","","","","","","",""
"21472","","","","","","","","","","41.512115","41.512115","41.512115","","","","","",""
"21476","","","","","","","","","","","","","","","","-9.176529","-9.176529","-9.176529"
"21483","42.952053","42.952053","42.952053","-36.036415","-36.036415","-36.036415","","","","","","","","","","","",""
"21486","","","","","","","","","","35.96571","35.96571","35.96571","","","","","",""
"21490","","","","","","","","","","","","","","","","-8.034036","-8.034036","-8.034036"
"21494","","","","","","","","","","","","","32.221607","32.221607","32.221607","","",""
"21497","39.47264","39.47264","39.47264","","","","","","","","","","","","","","",""
"21498","","","","","","","-48.125103","-48.125103","-48.125103","","","","","","","","",""
"21500","","","","","","","","","","35.73087","35.73087","35.73087","","","","","",""
"21504","","","","","","","","","","","","","","","","-16.18561","-16.18561","-16.18561"
"21508","","","","","","","","","","","","","26.753315","26.753315","26.753315","","",""
"21510","","","","","","","-49.34793","-49.34793","-49.34793","","","","","","","","",""
"21511","","","","-42.768826","-42.768826","-42.768826","","","","","","","","","","","",""
"21514","","","","","","","","","","42.192787","42.192787","42.192787","","","","","",""
"21522","","","","","","","","","","","","","25.517138","25.517138","25.517138","","",""
"21524","","","","","","","-52.02585","-52.02585","-52.02585","","","","","","","","",""
"21525","","","","-42.1164","-42.1164","-42.1164","","","","","","","","","","","",""
"21528","","","","","","","","","","47.04654","47.04654","47.04654","","","","","",""
"21532","","","","","","","","","","","","","","","","-18.10985","-18.10985","-18.10985"
"21533","37.123554","37.123554","37.123554","","","","","","","","","","","","","","",""
"21536","","","","","","","","","","","","","23.665842","23.665842","23.665842","","",""
"21538","","","","","","","-49.850353","-49.850353","-49.850353","","","","","","","","",""
"21539","","","","-42.58567","-42.58567","-42.58567","","","","","","","","","","","",""
"21542","","","","","","","","","","45.010487","45.010487","45.010487","","","","","",""
"21546","","","","","","","","","","","","","","","","-20.977419","-20.977419","-20.977419"
"21547","35.395676","35.395676","35.395676","","","","","","","","","","","","","","",""
"21552","","","","","","","-48.12984","-48.12984","-48.12984","","","","","","","","",""
"21553","","","","-37.5413","-37.5413","-37.5413","","","","","","","","","","","",""
"21556","","","","","","","","","","42.4705","42.4705","42.4705","","","","","",""
"21560","","","","","","","","","","","","","","","","-18.355377","-18.355377","-18.355377"
"21561","32.593258","32.593258","32.593258","","","","","","","","","","","","","","",""
"21563","","","","","","","","","","","","","24.324705","24.324705","24.324705","","",""
"21566","","","","","","","-41.933754","-41.933754","-41.933754","","","","","","","","",""
"21570","","","","","","","","","","37.556496","37.556496","37.556496","","","","","",""
"21572","","","","-40.043232","-40.043232","-40.043232","","","","","","","","","","","",""
"21574","","","","","","","","","","","","","","","","-16.91263","-16.91263","-16.91263"
"21575","35.40857","35.40857","35.40857","","","","","","","","","","","","","","",""
"21577","","","","","","","","","","","","","25.918604","25.918604","25.918604","","",""
"21580","","","","","","","-45.178913","-45.178913","-45.178913","","","","","","","","",""
"21584","","","","","","","","","","39.411713","39.411713","39.411713","","","","","",""
"21586","","","","-38.170746","-38.170746","-38.170746","","","","","","","","","","","",""
"21588","","","","","","","","","","","","","","","","-22.136189","-22.136189","-22.136189"
"21589","33.372784","33.372784","33.372784","","","","","","","","","","","","","","",""
"21591","","","","","","","","","","","","","29.422909","29.422909","29.422909","","",""
"21600","","","","-36.601864","-36.601864","-36.601864","","","","","","","","","","","",""
"21602","","","","","","","","","","","","","","","","-28.067122","-28.067122","-28.067122"
"21603","38.72014","38.72014","38.72014","","","","","","","","","","","","","","",""
"21608","","","","","","","-36.886192","-36.886192","-36.886192","","","","","","","","",""
"21612","","","","","","","","","","36.867043","36.867043","36.867043","","","","","",""
"21614","","","","-33.39016","-33.39016","-33.39016","","","","","","","","","","","",""
"21616","","","","","","","","","","","","","","","","-23.434574","-23.434574","-23.434574"
"21617","38.371426","38.371426","38.371426","","","","","","","","","","","","","","",""
"21622","","","","","","","-38.068424","-38.068424","-38.068424","","","","","","","","",""
"21626","","","","","","","","","","35.3699","35.3699","35.3699","","","","","",""
"21627","","","","","","","","","","","","","31.373537","31.373537","31.373537","","",""
"21628","","","","-33.83221","-33.83221","-33.83221","","","","","","","","","","","",""
"21636","","","","","","","-33.69461","-33.69461","-33.69461","","","","","","","","",""
"21640","","","","","","","","","","43.004128","43.004128","43.004128","","","","","",""
"21641","","","","","","","","","","","","","32.85412","32.85412","32.85412","","",""
"21642","","","","-34.89809","-34.89809","-34.89809","","","","","","","","","","","",""
"21643","","","","","","","","","","","","","","","","-21.014692","-21.014692","-21.014692"
"21644","34.08949","34.08949","34.08949","","","","","","","","","","","","","","",""
"21650","","","","","","","-31.274961","-31.274961","-31.274961","","","","","","","","",""
"21654","","","","","","","","","","39.333267","39.333267","39.333267","","","","","",""
"21655","","","","","","","","","","","","","26.450756","26.450756","26.450756","","",""
"21656","","","","-33.275364","-33.275364","-33.275364","","","","","","","","","","","",""
"21657","","","","","","","","","","","","","","","","-23.403214","-23.403214","-23.403214"
"21668","","","","","","","","","","39.245872","39.245872","39.245872","","","","","",""
"21669","","","","","","","","","","","","","23.244448","23.244448","23.244448","","",""
"21671","","","","","","","","","","","","","","","","-23.132816","-23.132816","-23.132816"
"21677","","","","","","","-37.38037","-37.38037","-37.38037","","","","","","","","",""
"21680","26.837664","26.837664","26.837664","","","","","","","","","","","","","","",""
"21683","","","","","","","","","","","","","22.218847","22.218847","22.218847","","",""
"21685","","","","","","","","","","","","","","","","-25.198965","-25.198965","-25.198965"
"21691","","","","","","","-40.527958","-40.527958","-40.527958","","","","","","","","",""
"21692","","","","-32.26144","-32.26144","-32.26144","","","","","","","","","","","",""
"21694","29.915133","29.915133","29.915133","","","","","","","","","","","","","","",""
"21695","","","","","","","","","","39.99502","39.99502","39.99502","","","","","",""
"21697","","","","","","","","","","","","","23.237875","23.237875","23.237875","","",""
"21705","","","","","","","-41.274586","-41.274586","-41.274586","","","","","","","","",""
"21706","","","","-34.17855","-34.17855","-34.17855","","","","","","","","","","","",""
"21708","34.865433","34.865433","34.865433","","","","","","","","","","","","","","",""
"21709","","","","","","","","","","42.19025","42.19025","42.19025","","","","","",""
"21711","","","","","","","","","","","","","22.377348","22.377348","22.377348","","",""
"21719","","","","","","","-42.702255","-42.702255","-42.702255","","","","","","","","",""
"21720","","","","-37.386913","-37.386913","-37.386913","","","","","","","","","","","",""
"21721","","","","","","","","","","","","","","","","-27.026299","-27.026299","-27.026299"
"21722","34.743515","34.743515","34.743515","","","","","","","","","","","","","","",""
"21723","","","","","","","","","","46.141323","46.141323","46.141323","","","","","",""
"21725","","","","","","","","","","","","","22.764448","22.764448","22.764448","","",""
"21733","","","","","","","-42.719795","-42.719795","-42.719795","","","","","","","","",""
"21735","","","","","","","","","","","","","","","","-27.286974","-27.286974","-27.286974"
"21736","36.700012","36.700012","36.700012","","","","","","","","","","","","","","",""
"21747","","","","-39.195816","-39.195816","-39.195816","-44.615242","-44.615242","-44.615242","","","","","","","","",""
"21749","","","","","","","","","","","","","","","","-34.545723","-34.545723","-34.545723"
