"Step","Proposed_Uniform - rollout/ep_len_mean","Proposed_Uniform - rollout/ep_len_mean__MIN","Proposed_Uniform - rollout/ep_len_mean__MAX","Prior_Uniform - rollout/ep_len_mean","Prior_Uniform - rollout/ep_len_mean__MIN","Prior_Uniform - rollout/ep_len_mean__MAX","Prior_Strong - rollout/ep_len_mean","Prior_Strong - rollout/ep_len_mean__MIN","Prior_Strong - rollout/ep_len_mean__MAX","Proposed_hard - rollout/ep_len_mean","Proposed_hard - rollout/ep_len_mean__MIN","Proposed_hard - rollout/ep_len_mean__MAX","Proposed_medium2 - rollout/ep_len_mean","Proposed_medium2 - rollout/ep_len_mean__MIN","Proposed_medium2 - rollout/ep_len_mean__MAX","Prior_medium2 - rollout/ep_len_mean","Prior_medium2 - rollout/ep_len_mean__MIN","Prior_medium2 - rollout/ep_len_mean__MAX"
"263","","","","706.53","706.53","706.53","","","","","","","","","","","",""
"265","","","","","","","","","","724.0658","724.0658","724.0658","","","","","",""
"271","","","","","","","712.4286","712.4286","712.4286","","","","","","","693.6667","693.6667","693.6667"
"275","713.29346","713.29346","713.29346","","","","","","","","","","","","","","",""
"279","","","","","","","","","","726.5357","726.5357","726.5357","","","","","",""
"285","","","","","","","","","","","","","","","","689.68","689.68","689.68"
"289","714.82294","714.82294","714.82294","","","","","","","","","","700.675","700.675","700.675","","",""
"290","","","","704.83","704.83","704.83","","","","","","","","","","","",""
"293","","","","","","","","","","726.5357","726.5357","726.5357","","","","","",""
"297","","","","","","","","","","718.5227","718.5227","718.5227","","","","","",""
"298","","","","","","","713.18","713.18","713.18","","","","","","","","",""
"303","708.98","708.98","708.98","","","","","","","","","","704.1163","704.1163","704.1163","","",""
"304","","","","704.83","704.83","704.83","","","","","","","","","","","",""
"311","","","","","","","","","","707.75","707.75","707.75","","","","","",""
"312","","","","","","","717.92","717.92","717.92","","","","","","","689.68","689.68","689.68"
"317","","","","","","","","","","","","","705.1591","705.1591","705.1591","","",""
"318","","","","704.83","704.83","704.83","","","","","","","","","","","",""
"325","","","","","","","","","","706.55554","706.55554","706.55554","","","","","",""
"326","","","","","","","713.63","713.63","713.63","","","","","","","683.57","683.57","683.57"
"331","","","","","","","","","","","","","706.45654","706.45654","706.45654","","",""
"332","","","","701.08","701.08","701.08","","","","","","","","","","","",""
"334","708.98","708.98","708.98","","","","","","","","","","","","","","",""
"339","","","","","","","","","","706.99","706.99","706.99","","","","","",""
"340","","","","","","","706.99","706.99","706.99","","","","","","","683.57","683.57","683.57"
"345","","","","","","","","","","","","","709.12244","709.12244","709.12244","","",""
"346","","","","697.82","697.82","697.82","","","","","","","","","","","",""
"348","708.98","708.98","708.98","","","","","","","","","","","","","","",""
"354","","","","","","","704.95","704.95","704.95","","","","","","","683.57","683.57","683.57"
"359","","","","","","","","","","","","","709.94","709.94","709.94","","",""
"362","703.95","703.95","703.95","","","","","","","","","","","","","","",""
"368","","","","","","","","","","","","","","","","672.89","672.89","672.89"
"376","703.95","703.95","703.95","","","","","","","","","","","","","","",""
"378","","","","","","","","","","700.91","700.91","700.91","","","","","",""
"382","","","","697.59","697.59","697.59","","","","","","","","","","672.62","672.62","672.62"
"390","689.54","689.54","689.54","","","","702.41","702.41","702.41","","","","703.06","703.06","703.06","","",""
"392","","","","","","","","","","700.91","700.91","700.91","","","","","",""
"394","","","","","","","702.41","702.41","702.41","","","","","","","","",""
"396","","","","699.45","699.45","699.45","","","","","","","","","","","",""
"398","","","","","","","702.56","702.56","702.56","","","","","","","","",""
"404","","","","","","","","","","","","","690.52","690.52","690.52","","",""
"406","","","","","","","","","","700.91","700.91","700.91","","","","","",""
"410","","","","695.11","695.11","695.11","","","","706.43","706.43","706.43","","","","","",""
"412","","","","","","","696.19","696.19","696.19","","","","","","","","",""
"418","","","","","","","","","","","","","692.87","692.87","692.87","672.62","672.62","672.62"
"424","","","","695.11","695.11","695.11","","","","","","","","","","","",""
"426","683.3","683.3","683.3","","","","696.19","696.19","696.19","","","","","","","","",""
"430","679.47","679.47","679.47","","","","","","","","","","","","","","",""
"432","","","","","","","","","","","","","689.23","689.23","689.23","672.62","672.62","672.62"
"440","","","","","","","703.9","703.9","703.9","","","","","","","","",""
"443","","","","688.02","688.02","688.02","","","","","","","","","","","",""
"444","661.27","661.27","661.27","","","","","","","","","","","","","","",""
"446","","","","","","","","","","706.43","706.43","706.43","689.23","689.23","689.23","672.62","672.62","672.62"
"450","","","","","","","","","","706.43","706.43","706.43","","","","","",""
"454","","","","","","","","","","703.36","703.36","703.36","","","","","",""
"457","","","","683.11","683.11","683.11","","","","","","","","","","","",""
"458","658.36","658.36","658.36","","","","","","","","","","","","","","",""
"459","","","","","","","701.25","701.25","701.25","","","","","","","","",""
"468","","","","","","","","","","703.06","703.06","703.06","","","","","",""
"471","","","","683.11","683.11","683.11","","","","","","","","","","","",""
"472","661.44","661.44","661.44","","","","","","","","","","","","","","",""
"473","","","","","","","701.59","701.59","701.59","","","","","","","684.32","684.32","684.32"
"480","","","","","","","","","","","","","696.47","696.47","696.47","","",""
"482","","","","","","","","","","703.06","703.06","703.06","","","","","",""
"484","","","","","","","","","","","","","703.53","703.53","703.53","","",""
"485","","","","684.5","684.5","684.5","","","","","","","","","","","",""
"487","","","","","","","707.79","707.79","707.79","","","","","","","678.64","678.64","678.64"
"498","","","","","","","","","","","","","703.53","703.53","703.53","","",""
"499","661.44","661.44","661.44","684.5","684.5","684.5","","","","","","","","","","","",""
"501","","","","","","","697.92","697.92","697.92","","","","","","","678.64","678.64","678.64"
"509","","","","","","","","","","701.61","701.61","701.61","","","","","",""
"512","","","","","","","","","","","","","703.53","703.53","703.53","","",""
"513","657.52","657.52","657.52","679.22","679.22","679.22","","","","","","","","","","","",""
"515","","","","","","","695.5","695.5","695.5","","","","","","","685.3","685.3","685.3"
"526","","","","","","","","","","","","","699.5","699.5","699.5","","",""
"527","","","","670.25","670.25","670.25","","","","","","","","","","","",""
"529","","","","","","","688.33","688.33","688.33","","","","","","","679.51","679.51","679.51"
"541","650.4","650.4","650.4","","","","","","","","","","","","","","",""
