"Step","Proposed_Uniform - rollout/ep_len_mean","Proposed_Uniform - rollout/ep_len_mean__MIN","Proposed_Uniform - rollout/ep_len_mean__MAX","Prior_Uniform - rollout/ep_len_mean","Prior_Uniform - rollout/ep_len_mean__MIN","Prior_Uniform - rollout/ep_len_mean__MAX","Prior_Strong - rollout/ep_len_mean","Prior_Strong - rollout/ep_len_mean__MIN","Prior_Strong - rollout/ep_len_mean__MAX","Proposed_hard - rollout/ep_len_mean","Proposed_hard - rollout/ep_len_mean__MIN","Proposed_hard - rollout/ep_len_mean__MAX","Proposed_medium2 - rollout/ep_len_mean","Proposed_medium2 - rollout/ep_len_mean__MIN","Proposed_medium2 - rollout/ep_len_mean__MAX","Prior_medium2 - rollout/ep_len_mean","Prior_medium2 - rollout/ep_len_mean__MIN","Prior_medium2 - rollout/ep_len_mean__MAX"
"17992","","","","565.71","565.71","565.71","","","","","","","","","","","",""
"17994","","","","","","","","","","463.77","463.77","463.77","","","","","",""
"17999","","","","","","","625.66","625.66","625.66","","","","","","","645.54","645.54","645.54"
"18002","","","","","","","","","","","","","522.55","522.55","522.55","","",""
"18006","","","","571.12","571.12","571.12","","","","","","","","","","","",""
"18008","","","","","","","","","","480.42","480.42","480.42","","","","","",""
"18013","","","","","","","634.23","634.23","634.23","","","","","","","644.36","644.36","644.36"
"18016","","","","","","","","","","","","","520.75","520.75","520.75","","",""
"18020","","","","570.59","570.59","570.59","","","","","","","","","","","",""
"18022","","","","","","","","","","474.33","474.33","474.33","","","","","",""
"18025","466.29","466.29","466.29","","","","","","","","","","","","","","",""
"18027","","","","","","","627.93","627.93","627.93","","","","","","","648.88","648.88","648.88"
"18034","","","","558.91","558.91","558.91","","","","","","","","","","","",""
"18036","","","","","","","","","","459.84","459.84","459.84","","","","","",""
"18039","476.92","476.92","476.92","","","","","","","","","","","","","","",""
"18041","","","","","","","621.27","621.27","621.27","","","","","","","","",""
"18048","","","","558.75","558.75","558.75","","","","","","","","","","","",""
"18050","","","","","","","","","","449.06","449.06","449.06","","","","","",""
"18052","","","","","","","","","","","","","526.91","526.91","526.91","","",""
"18053","481.17","481.17","481.17","","","","","","","","","","","","","","",""
"18055","","","","","","","626.32","626.32","626.32","","","","","","","","",""
"18066","","","","","","","","","","","","","525.81","525.81","525.81","","",""
"18069","","","","","","","","","","","","","","","","644.37","644.37","644.37"
"18075","","","","553.52","553.52","553.52","","","","","","","","","","","",""
"18077","","","","","","","","","","444.61","444.61","444.61","","","","","",""
"18080","478.51","478.51","478.51","","","","","","","","","","526.67","526.67","526.67","","",""
"18082","","","","","","","639.41","639.41","639.41","","","","","","","","",""
"18083","","","","","","","","","","","","","","","","638.47","638.47","638.47"
"18089","","","","562.72","562.72","562.72","","","","","","","","","","","",""
"18091","","","","","","","","","","436.83","436.83","436.83","","","","","",""
"18094","467.31","467.31","467.31","","","","","","","","","","536.48","536.48","536.48","","",""
"18096","","","","","","","644.43","644.43","644.43","","","","","","","","",""
"18097","","","","","","","","","","","","","","","","642.34","642.34","642.34"
"18103","","","","573.72","573.72","573.72","","","","","","","","","","","",""
"18105","","","","","","","","","","444.93","444.93","444.93","","","","","",""
"18108","458.46","458.46","458.46","","","","","","","","","","536.01","536.01","536.01","","",""
"18111","","","","","","","","","","","","","","","","635.47","635.47","635.47"
"18117","","","","569.22","569.22","569.22","","","","","","","","","","","",""
"18119","","","","","","","","","","450.68","450.68","450.68","","","","","",""
"18122","466.59","466.59","466.59","","","","","","","","","","529.46","529.46","529.46","","",""
"18125","","","","","","","","","","","","","","","","639.79","639.79","639.79"
"18131","","","","571.63","571.63","571.63","","","","","","","","","","","",""
"18132","","","","","","","639","639","639","","","","","","","","",""
"18136","","","","","","","","","","","","","530.72","530.72","530.72","","",""
"18139","","","","","","","","","","","","","","","","633.17","633.17","633.17"
"18145","","","","572.89","572.89","572.89","","","","","","","","","","","",""
"18146","","","","","","","642.38","642.38","642.38","","","","","","","","",""
"18147","","","","","","","","","","458.2","458.2","458.2","","","","","",""
"18150","","","","","","","","","","","","","523.77","523.77","523.77","","",""
"18153","","","","","","","","","","","","","","","","633.17","633.17","633.17"
"18158","473.53","473.53","473.53","","","","","","","","","","","","","","",""
"18160","","","","","","","643.21","643.21","643.21","","","","","","","","",""
"18161","","","","","","","","","","448.87","448.87","448.87","","","","","",""
"18167","","","","","","","","","","","","","","","","640.06","640.06","640.06"
"18172","471.48","471.48","471.48","","","","","","","","","","","","","","",""
"18173","","","","571.52","571.52","571.52","","","","","","","","","","","",""
"18174","","","","","","","638.05","638.05","638.05","","","","","","","","",""
"18175","","","","","","","","","","449.13","449.13","449.13","","","","","",""
"18181","","","","","","","","","","","","","","","","634.45","634.45","634.45"
"18186","485.52","485.52","485.52","","","","","","","","","","","","","","",""
"18187","","","","576.89","576.89","576.89","","","","","","","","","","","",""
"18188","","","","","","","623.24","623.24","623.24","","","","","","","","",""
"18189","","","","","","","","","","456.92","456.92","456.92","","","","","",""
"18195","","","","","","","","","","","","","","","","634.74","634.74","634.74"
"18199","","","","","","","","","","","","","523.88","523.88","523.88","","",""
"18200","480.67","480.67","480.67","","","","","","","","","","","","","","",""
"18201","","","","578.79","578.79","578.79","","","","","","","","","","","",""
"18202","","","","","","","626.1","626.1","626.1","","","","","","","","",""
"18203","","","","","","","","","","466.7","466.7","466.7","","","","","",""
"18211","","","","","","","","","","","","","512.05","512.05","512.05","","",""
"18214","479.54","479.54","479.54","","","","","","","","","","","","","639.76","639.76","639.76"
"18215","","","","579.98","579.98","579.98","","","","","","","","","","","",""
"18216","","","","","","","626.59","626.59","626.59","","","","","","","","",""
"18217","","","","","","","","","","465.88","465.88","465.88","","","","","",""
"18225","","","","","","","","","","","","","508.55","508.55","508.55","","",""
"18228","474.84","474.84","474.84","","","","","","","","","","","","","627.65","627.65","627.65"
"18230","","","","","","","625.4","625.4","625.4","","","","","","","","",""
"18231","","","","","","","","","","463.14","463.14","463.14","","","","","",""
"18239","","","","","","","","","","","","","506.07","506.07","506.07","","",""
"18242","474.42","474.42","474.42","581.52","581.52","581.52","","","","","","","","","","","",""
"18245","","","","","","","","","","469.07","469.07","469.07","","","","","",""
"18253","","","","","","","","","","","","","510.21","510.21","510.21","","",""
"18256","","","","579.79","579.79","579.79","","","","","","","","","","","",""
"18257","","","","","","","639.61","639.61","639.61","","","","","","","","",""
"18264","","","","","","","","","","","","","","","","636.87","636.87","636.87"
"18267","","","","","","","","","","","","","501.63","501.63","501.63","","",""
"18269","486.75","486.75","486.75","","","","","","","","","","","","","","",""
"18270","","","","570.47","570.47","570.47","","","","","","","","","","","",""
"18271","","","","","","","645.75","645.75","645.75","","","","","","","","",""
"18278","","","","","","","","","","","","","","","","637.67","637.67","637.67"
"18281","","","","","","","","","","458.82","458.82","458.82","504.87","504.87","504.87","","",""
"18284","","","","567.58","567.58","567.58","","","","","","","","","","","",""
"18285","","","","","","","639.63","639.63","639.63","","","","","","","","",""
"18292","","","","","","","","","","","","","","","","643.49","643.49","643.49"
"18295","","","","","","","","","","451.81","451.81","451.81","492.49","492.49","492.49","","",""
"18298","497.42","497.42","497.42","565.11","565.11","565.11","","","","","","","","","","","",""
"18299","","","","","","","627.8","627.8","627.8","","","","","","","","",""
"18306","","","","","","","","","","","","","","","","637.23","637.23","637.23"
"18312","495.64","495.64","495.64","550.03","550.03","550.03","","","","","","","","","","","",""
"18313","","","","","","","634.71","634.71","634.71","","","","","","","","",""
"18320","","","","","","","","","","","","","","","","651.55","651.55","651.55"
"18322","","","","","","","","","","457.66","457.66","457.66","","","","","",""
"18326","497.41","497.41","497.41","553.38","553.38","553.38","","","","","","","","","","","",""
"18331","","","","","","","","","","","","","500.41","500.41","500.41","","",""
"18334","","","","","","","","","","","","","","","","651.55","651.55","651.55"
"18336","","","","","","","","","","452.02","452.02","452.02","","","","","",""
"18340","490.67","490.67","490.67","558.34","558.34","558.34","","","","","","","","","","","",""
"18345","","","","","","","","","","","","","500.43","500.43","500.43","","",""
"18348","","","","","","","","","","","","","","","","643.61","643.61","643.61"
"18349","","","","","","","634.71","634.71","634.71","","","","","","","","",""
"18350","","","","","","","","","","455.92","455.92","455.92","","","","","",""
"18354","505.63","505.63","505.63","575.26","575.26","575.26","","","","","","","","","","","",""
"18359","","","","","","","","","","","","","503.4","503.4","503.4","","",""
"18363","","","","","","","626.68","626.68","626.68","","","","","","","","",""
"18364","","","","","","","","","","447.88","447.88","447.88","","","","","",""
"18368","516.08","516.08","516.08","","","","","","","","","","","","","","",""
"18373","","","","","","","","","","","","","506.34","506.34","506.34","","",""
"18375","","","","","","","","","","","","","","","","643.61","643.61","643.61"
"18377","","","","","","","625.42","625.42","625.42","","","","","","","","",""
"18378","","","","","","","","","","459.51","459.51","459.51","","","","","",""
"18382","510.58","510.58","510.58","","","","","","","","","","","","","","",""
"18387","","","","","","","","","","","","","500.19","500.19","500.19","646.88","646.88","646.88"
"18390","","","","569.7","569.7","569.7","","","","","","","","","","","",""
"18391","","","","","","","618.68","618.68","618.68","","","","","","","","",""
"18396","505.37","505.37","505.37","","","","","","","","","","","","","","",""
"18401","","","","","","","","","","","","","","","","645.45","645.45","645.45"
"18404","","","","563.69","563.69","563.69","","","","","","","","","","","",""
"18405","","","","","","","611.1","611.1","611.1","","","","","","","","",""
"18406","","","","","","","","","","","","","494","494","494","","",""
"18414","","","","","","","","","","460.64","460.64","460.64","","","","","",""
"18415","","","","","","","","","","","","","","","","635.68","635.68","635.68"
"18419","","","","","","","618.47","618.47","618.47","","","","","","","","",""
"18420","","","","","","","","","","","","","492.45","492.45","492.45","","",""
"18428","","","","","","","","","","461.36","461.36","461.36","","","","","",""
"18429","","","","","","","","","","","","","","","","633.56","633.56","633.56"
"18431","","","","571.4","571.4","571.4","","","","","","","","","","","",""
"18432","490.19","490.19","490.19","","","","","","","","","","","","","","",""
"18434","","","","","","","","","","","","","486.85","486.85","486.85","","",""
"18438","","","","","","","612.96","612.96","612.96","","","","","","","","",""
"18442","","","","","","","","","","449.86","449.86","449.86","","","","","",""
"18445","","","","569.44","569.44","569.44","","","","","","","","","","","",""
"18446","483.3","483.3","483.3","","","","","","","","","","","","","","",""
"18452","","","","","","","612.46","612.46","612.46","","","","","","","","",""
"18456","","","","","","","","","","454.99","454.99","454.99","","","","","",""
"18459","","","","572.14","572.14","572.14","","","","","","","","","","","",""
"18460","495.08","495.08","495.08","","","","","","","","","","","","","","",""
"18465","","","","","","","","","","","","","","","","627.1","627.1","627.1"
"18466","","","","","","","596.96","596.96","596.96","","","","","","","","",""
"18470","","","","","","","","","","459.33","459.33","459.33","487.8","487.8","487.8","","",""
"18473","","","","574.42","574.42","574.42","","","","","","","","","","","",""
"18474","495.77","495.77","495.77","","","","","","","","","","","","","","",""
"18479","","","","","","","","","","","","","","","","632.75","632.75","632.75"
"18480","","","","","","","590.15","590.15","590.15","","","","","","","","",""
"18484","","","","","","","","","","455.09","455.09","455.09","490.06","490.06","490.06","","",""
"18487","","","","584.52","584.52","584.52","","","","","","","","","","","",""
"18488","487.85","487.85","487.85","","","","","","","","","","","","","","",""
"18493","","","","","","","","","","","","","","","","631.39","631.39","631.39"
"18494","","","","","","","591.71","591.71","591.71","","","","","","","","",""
"18498","","","","","","","","","","458.06","458.06","458.06","489.69","489.69","489.69","","",""
"18501","","","","587.6","587.6","587.6","","","","","","","","","","","",""
"18507","","","","","","","","","","","","","","","","626.97","626.97","626.97"
"18508","","","","","","","591.71","591.71","591.71","","","","","","","","",""
"18512","","","","","","","","","","465.69","465.69","465.69","487.54","487.54","487.54","","",""
"18515","494.76","494.76","494.76","568.77","568.77","568.77","","","","","","","","","","","",""
"18521","","","","","","","","","","","","","","","","624.12","624.12","624.12"
"18522","","","","","","","584.72","584.72","584.72","","","","","","","","",""
"18526","","","","","","","","","","462.43","462.43","462.43","483.71","483.71","483.71","","",""
"18529","490.42","490.42","490.42","567.88","567.88","567.88","","","","","","","","","","","",""
"18535","","","","","","","","","","","","","","","","618.58","618.58","618.58"
"18540","","","","","","","","","","449.59","449.59","449.59","488.27","488.27","488.27","","",""
"18543","483.9","483.9","483.9","570.54","570.54","570.54","","","","","","","","","","","",""
"18550","","","","","","","583.57","583.57","583.57","","","","","","","","",""
"18554","","","","","","","","","","","","","493.08","493.08","493.08","","",""
"18557","472.85","472.85","472.85","566.4","566.4","566.4","","","","","","","","","","","",""
"18562","","","","","","","","","","","","","","","","625.2","625.2","625.2"
"18564","","","","","","","588.7","588.7","588.7","","","","","","","","",""
"18571","","","","565.25","565.25","565.25","","","","","","","","","","","",""
"18576","","","","","","","","","","","","","","","","618.02","618.02","618.02"
"18578","","","","","","","581.34","581.34","581.34","","","","","","","","",""
"18580","","","","","","","","","","","","","496.78","496.78","496.78","","",""
"18581","","","","","","","","","","448.79","448.79","448.79","","","","","",""
"18585","","","","553.67","553.67","553.67","","","","","","","","","","","",""
"18590","","","","","","","","","","","","","","","","619.85","619.85","619.85"
"18592","","","","","","","597.62","597.62","597.62","","","","","","","","",""
"18593","465.48","465.48","465.48","","","","","","","","","","","","","","",""
"18594","","","","","","","","","","","","","506.13","506.13","506.13","","",""
"18595","","","","","","","","","","444.94","444.94","444.94","","","","","",""
"18604","","","","","","","","","","","","","","","","620.05","620.05","620.05"
"18607","470.43","470.43","470.43","","","","","","","","","","","","","","",""
"18609","","","","","","","","","","449.71","449.71","449.71","","","","","",""
"18613","","","","","","","","","","","","","517.04","517.04","517.04","","",""
"18618","","","","","","","","","","","","","","","","618.51","618.51","618.51"
"18619","","","","","","","598.2","598.2","598.2","","","","","","","","",""
"18621","459.74","459.74","459.74","","","","","","","","","","","","","","",""
"18623","","","","","","","","","","442.8","442.8","442.8","","","","","",""
"18627","","","","550.25","550.25","550.25","","","","","","","534.28","534.28","534.28","","",""
"18632","","","","","","","","","","","","","","","","609.85","609.85","609.85"
"18633","","","","","","","593.1","593.1","593.1","","","","","","","","",""
"18635","463.89","463.89","463.89","","","","","","","","","","","","","","",""
"18637","","","","","","","","","","438.9","438.9","438.9","","","","","",""
"18641","","","","558.3","558.3","558.3","","","","","","","534.38","534.38","534.38","","",""
"18647","","","","","","","593.41","593.41","593.41","","","","","","","","",""
"18649","463.9","463.9","463.9","","","","","","","","","","","","","","",""
"18651","","","","","","","","","","432.09","432.09","432.09","","","","","",""
"18655","","","","554.6","554.6","554.6","","","","","","","","","","","",""
"18661","","","","","","","588.71","588.71","588.71","","","","","","","","",""
"18663","470.49","470.49","470.49","","","","","","","","","","","","","","",""
"18665","","","","","","","","","","424.54","424.54","424.54","","","","","",""
"18668","","","","","","","","","","","","","","","","617.38","617.38","617.38"
"18669","","","","551.14","551.14","551.14","","","","","","","","","","","",""
"18675","","","","","","","590.18","590.18","590.18","","","","","","","","",""
"18677","476.86","476.86","476.86","","","","","","","","","","533.64","533.64","533.64","","",""
"18679","","","","","","","","","","415.18","415.18","415.18","","","","","",""
"18682","","","","","","","","","","","","","","","","618.3","618.3","618.3"
"18683","","","","554.72","554.72","554.72","","","","","","","","","","","",""
"18689","","","","","","","591.38","591.38","591.38","","","","","","","","",""
"18691","461.9","461.9","461.9","","","","","","","","","","529.8","529.8","529.8","","",""
"18693","","","","","","","","","","420.45","420.45","420.45","","","","","",""
"18696","","","","","","","","","","","","","","","","603.56","603.56","603.56"
"18697","","","","559.96","559.96","559.96","","","","","","","","","","","",""
"18703","","","","","","","600.02","600.02","600.02","","","","","","","","",""
"18705","","","","","","","","","","","","","540.91","540.91","540.91","","",""
"18710","","","","","","","","","","","","","","","","603.56","603.56","603.56"
"18711","","","","565.78","565.78","565.78","","","","","","","","","","","",""
"18717","","","","","","","594.34","594.34","594.34","","","","","","","","",""
"18719","","","","","","","","","","","","","548.37","548.37","548.37","","",""
"18725","","","","573.31","573.31","573.31","","","","","","","","","","","",""
"18727","446.39","446.39","446.39","","","","","","","","","","","","","","",""
"18729","","","","","","","","","","421.79","421.79","421.79","","","","","",""
"18731","","","","","","","577.12","577.12","577.12","","","","","","","","",""
"18733","","","","","","","","","","","","","551.88","551.88","551.88","","",""
"18737","","","","","","","","","","","","","","","","600.47","600.47","600.47"
"18739","","","","562.71","562.71","562.71","","","","","","","","","","","",""
"18741","449.13","449.13","449.13","","","","","","","","","","","","","","",""
"18743","","","","","","","","","","425.27","425.27","425.27","","","","","",""
"18747","","","","","","","","","","","","","546.13","546.13","546.13","","",""
"18751","","","","","","","","","","","","","","","","605.71","605.71","605.71"
"18753","","","","561.61","561.61","561.61","","","","","","","","","","","",""
"18757","","","","","","","","","","423.98","423.98","423.98","","","","","",""
"18759","","","","","","","581.13","581.13","581.13","","","","","","","","",""
"18761","","","","","","","","","","","","","544.96","544.96","544.96","","",""
"18765","","","","","","","","","","","","","","","","599.11","599.11","599.11"
"18767","","","","549.63","549.63","549.63","","","","","","","","","","","",""
"18768","441.9","441.9","441.9","","","","","","","","","","","","","","",""
"18771","","","","","","","","","","427.68","427.68","427.68","","","","","",""
"18773","","","","","","","575.16","575.16","575.16","","","","","","","","",""
"18775","","","","","","","","","","","","","523.43","523.43","523.43","","",""
"18779","","","","","","","","","","","","","","","","602.95","602.95","602.95"
"18782","457.03","457.03","457.03","","","","","","","","","","","","","","",""
"18792","","","","","","","569.63","569.63","569.63","","","","","","","","",""
"18793","","","","","","","","","","","","","","","","601.27","601.27","601.27"
"18794","","","","550.33","550.33","550.33","","","","","","","","","","","",""
"18796","458.01","458.01","458.01","","","","","","","","","","","","","","",""
"18798","","","","","","","","","","431.67","431.67","431.67","","","","","",""
"18802","","","","","","","","","","","","","527.85","527.85","527.85","","",""
"18806","","","","","","","563.48","563.48","563.48","","","","","","","","",""
"18807","","","","","","","","","","","","","","","","595.33","595.33","595.33"
"18808","","","","552.59","552.59","552.59","","","","","","","","","","","",""
"18810","457.01","457.01","457.01","","","","","","","","","","","","","","",""
"18812","","","","","","","","","","432.06","432.06","432.06","","","","","",""
"18820","","","","","","","570.14","570.14","570.14","","","","","","","","",""
"18821","","","","","","","","","","","","","536.13","536.13","536.13","595.3","595.3","595.3"
"18822","","","","535.76","535.76","535.76","","","","","","","","","","","",""
"18826","","","","","","","","","","420.51","420.51","420.51","","","","","",""
"18834","","","","","","","566.99","566.99","566.99","","","","","","","","",""
"18835","","","","","","","","","","","","","536.06","536.06","536.06","588.44","588.44","588.44"
"18840","","","","","","","","","","422.47","422.47","422.47","","","","","",""
"18846","462.38","462.38","462.38","","","","","","","","","","","","","","",""
"18848","","","","","","","565.52","565.52","565.52","","","","","","","","",""
"18849","","","","","","","","","","","","","532.34","532.34","532.34","582.94","582.94","582.94"
"18858","","","","543.91","543.91","543.91","","","","","","","","","","","",""
"18860","471.93","471.93","471.93","","","","","","","","","","","","","","",""
"18862","","","","","","","574.51","574.51","574.51","","","","","","","","",""
"18863","","","","","","","","","","","","","542.15","542.15","542.15","589.4","589.4","589.4"
"18872","","","","552.9","552.9","552.9","","","","","","","","","","","",""
"18874","486.11","486.11","486.11","","","","","","","","","","","","","","",""
"18876","","","","","","","569.84","569.84","569.84","420.76","420.76","420.76","","","","","",""
"18877","","","","","","","","","","","","","537.16","537.16","537.16","","",""
"18886","","","","546.79","546.79","546.79","","","","","","","","","","","",""
"18888","505.76","505.76","505.76","","","","","","","","","","","","","","",""
"18890","","","","","","","566.88","566.88","566.88","410.5","410.5","410.5","","","","","",""
"18891","","","","","","","","","","","","","532.26","532.26","532.26","","",""
"18899","","","","","","","","","","","","","","","","575.97","575.97","575.97"
"18900","","","","535.49","535.49","535.49","","","","","","","","","","","",""
"18902","499.23","499.23","499.23","","","","","","","","","","","","","","",""
"18904","","","","","","","560.48","560.48","560.48","421.36","421.36","421.36","","","","","",""
"18905","","","","","","","","","","","","","526.77","526.77","526.77","","",""
"18913","","","","","","","","","","","","","","","","577.69","577.69","577.69"
"18914","","","","531.5","531.5","531.5","","","","","","","","","","","",""
"18916","501.43","501.43","501.43","","","","","","","","","","","","","","",""
"18918","","","","","","","572.9","572.9","572.9","440.22","440.22","440.22","","","","","",""
"18928","","","","546.53","546.53","546.53","","","","","","","","","","","",""
"18932","","","","","","","567.74","567.74","567.74","434.6","434.6","434.6","","","","","",""
"18940","","","","","","","","","","","","","","","","575.02","575.02","575.02"
"18941","","","","","","","","","","","","","525.6","525.6","525.6","","",""
"18942","","","","551.47","551.47","551.47","","","","","","","","","","","",""
"18946","","","","","","","","","","441.28","441.28","441.28","","","","","",""
"18954","","","","","","","","","","","","","","","","580.98","580.98","580.98"
"18955","","","","","","","","","","","","","518.96","518.96","518.96","","",""
"18956","","","","554.76","554.76","554.76","","","","","","","","","","","",""
"18957","512.48","512.48","512.48","","","","","","","","","","","","","","",""
"18960","","","","","","","","","","443.03","443.03","443.03","","","","","",""
"18968","","","","","","","","","","","","","","","","581.31","581.31","581.31"
"18969","","","","","","","","","","","","","511.48","511.48","511.48","","",""
"18971","509.79","509.79","509.79","","","","","","","","","","","","","","",""
"18974","","","","","","","567.78","567.78","567.78","","","","","","","","",""
"18982","","","","","","","","","","","","","","","","573.89","573.89","573.89"
"18983","","","","553.4","553.4","553.4","","","","","","","517.62","517.62","517.62","","",""
"18985","515.34","515.34","515.34","","","","","","","","","","","","","","",""
"18988","","","","","","","576.92","576.92","576.92","","","","","","","","",""
"18996","","","","","","","","","","455.14","455.14","455.14","","","","573.64","573.64","573.64"
"18997","","","","552.17","552.17","552.17","","","","","","","503.97","503.97","503.97","","",""
"18999","522.08","522.08","522.08","","","","","","","","","","","","","","",""
"19002","","","","","","","572.28","572.28","572.28","","","","","","","","",""
"19010","","","","","","","","","","447.6","447.6","447.6","","","","573.64","573.64","573.64"
"19011","","","","549.76","549.76","549.76","","","","","","","","","","","",""
"19013","525.94","525.94","525.94","","","","","","","","","","","","","","",""
"19016","","","","","","","575.96","575.96","575.96","","","","","","","","",""
"19024","","","","","","","","","","455.87","455.87","455.87","508.12","508.12","508.12","569","569","569"
"19025","","","","548.82","548.82","548.82","","","","","","","","","","","",""
"19027","530.75","530.75","530.75","","","","","","","","","","","","","","",""
"19030","","","","","","","574.73","574.73","574.73","","","","","","","","",""
"19038","","","","","","","","","","441.68","441.68","441.68","506.63","506.63","506.63","571.07","571.07","571.07"
"19039","","","","535.33","535.33","535.33","","","","","","","","","","","",""
"19041","528.86","528.86","528.86","","","","","","","","","","","","","","",""
"19044","","","","","","","578.13","578.13","578.13","","","","","","","","",""
"19052","","","","","","","","","","","","","","","","568.36","568.36","568.36"
"19055","532.97","532.97","532.97","","","","","","","","","","","","","","",""
"19058","","","","","","","577.78","577.78","577.78","","","","","","","","",""
"19065","","","","","","","","","","430.73","430.73","430.73","","","","","",""
"19066","","","","","","","","","","","","","","","","565.17","565.17","565.17"
"19072","","","","","","","582.18","582.18","582.18","","","","","","","","",""
"19074","","","","","","","","","","","","","497.63","497.63","497.63","","",""
"19075","","","","536.07","536.07","536.07","","","","","","","","","","","",""
"19079","","","","","","","","","","436.34","436.34","436.34","","","","","",""
"19080","","","","","","","","","","","","","","","","567.37","567.37","567.37"
"19086","","","","","","","582.2","582.2","582.2","","","","","","","","",""
"19087","","","","545.96","545.96","545.96","","","","","","","","","","","",""
"19088","","","","","","","","","","","","","501.36","501.36","501.36","","",""
"19091","525.22","525.22","525.22","","","","","","","","","","","","","","",""
"19093","","","","","","","","","","433.53","433.53","433.53","","","","","",""
"19101","","","","545.51","545.51","545.51","","","","","","","","","","","",""
"19102","","","","","","","","","","","","","497.73","497.73","497.73","","",""
"19105","518.84","518.84","518.84","","","","","","","","","","","","","","",""
"19107","","","","","","","","","","433.41","433.41","433.41","","","","","",""
"19113","","","","","","","583.93","583.93","583.93","","","","","","","","",""
"19115","","","","536.1","536.1","536.1","","","","","","","","","","","",""
"19116","","","","","","","","","","","","","500.05","500.05","500.05","","",""
"19119","523.69","523.69","523.69","","","","","","","","","","","","","","",""
"19121","","","","","","","","","","439.6","439.6","439.6","","","","","",""
"19122","","","","","","","","","","","","","","","","582.17","582.17","582.17"
"19127","","","","","","","584.98","584.98","584.98","","","","","","","","",""
"19129","","","","528.41","528.41","528.41","","","","","","","","","","","",""
"19130","","","","","","","","","","","","","502.86","502.86","502.86","","",""
"19133","529.62","529.62","529.62","","","","","","","","","","","","","","",""
"19135","","","","","","","","","","433.86","433.86","433.86","","","","","",""
"19136","","","","","","","","","","","","","","","","569.7","569.7","569.7"
"19141","","","","","","","602.2","602.2","602.2","","","","","","","","",""
"19143","","","","529.13","529.13","529.13","","","","","","","","","","","",""
"19144","","","","","","","","","","","","","503.06","503.06","503.06","","",""
"19147","535.74","535.74","535.74","","","","","","","","","","","","","","",""
"19150","","","","","","","","","","","","","","","","577.71","577.71","577.71"
"19157","","","","527.71","527.71","527.71","","","","","","","","","","","",""
"19158","","","","","","","","","","","","","500.62","500.62","500.62","","",""
"19164","","","","","","","","","","","","","","","","568.02","568.02","568.02"
"19166","540.6","540.6","540.6","","","","","","","","","","","","","","",""
"19167","","","","","","","600.7","600.7","600.7","","","","","","","","",""
"19171","","","","","","","","","","445.21","445.21","445.21","","","","","",""
"19178","","","","","","","","","","","","","","","","561.69","561.69","561.69"
"19180","533.31","533.31","533.31","","","","","","","","","","","","","","",""
"19181","","","","","","","594.05","594.05","594.05","","","","","","","","",""
"19184","","","","529.23","529.23","529.23","","","","","","","","","","","",""
"19185","","","","","","","","","","445.8","445.8","445.8","","","","","",""
"19192","","","","","","","","","","","","","","","","558.25","558.25","558.25"
"19194","540.97","540.97","540.97","","","","","","","","","","499.6","499.6","499.6","","",""
"19195","","","","","","","600.14","600.14","600.14","","","","","","","","",""
"19198","","","","532.2","532.2","532.2","","","","","","","","","","","",""
"19199","","","","","","","","","","454.08","454.08","454.08","","","","","",""
"19206","","","","","","","","","","","","","","","","546.13","546.13","546.13"
"19208","","","","","","","","","","","","","505.85","505.85","505.85","","",""
"19209","","","","","","","611.04","611.04","611.04","","","","","","","","",""
"19212","","","","541.4","541.4","541.4","","","","","","","","","","","",""
"19213","","","","","","","","","","434.29","434.29","434.29","","","","","",""
"19220","","","","","","","","","","","","","","","","552.28","552.28","552.28"
"19222","527.89","527.89","527.89","","","","","","","","","","508.96","508.96","508.96","","",""
"19223","","","","","","","604.87","604.87","604.87","","","","","","","","",""
"19226","","","","539.09","539.09","539.09","","","","","","","","","","","",""
"19227","","","","","","","","","","430.27","430.27","430.27","","","","","",""
"19234","","","","","","","","","","","","","","","","546.9","546.9","546.9"
"19236","533.26","533.26","533.26","","","","","","","","","","","","","","",""
"19237","","","","","","","595.63","595.63","595.63","","","","","","","","",""
"19240","","","","549","549","549","","","","","","","","","","","",""
"19241","","","","","","","","","","419.91","419.91","419.91","","","","","",""
"19248","","","","","","","","","","","","","","","","551.6","551.6","551.6"
"19249","","","","","","","","","","","","","506.89","506.89","506.89","","",""
"19250","536.51","536.51","536.51","","","","","","","","","","","","","","",""
"19251","","","","","","","601","601","601","","","","","","","","",""
"19254","","","","546.84","546.84","546.84","","","","","","","","","","","",""
"19255","","","","","","","","","","434.64","434.64","434.64","","","","","",""
"19262","","","","","","","","","","","","","","","","557.07","557.07","557.07"
"19263","","","","","","","","","","","","","500.67","500.67","500.67","","",""
"19264","530.3","530.3","530.3","","","","","","","","","","","","","","",""
"19265","","","","","","","600.78","600.78","600.78","","","","","","","","",""
"19268","","","","529.8","529.8","529.8","","","","","","","","","","","",""
"19269","","","","","","","","","","425.59","425.59","425.59","","","","","",""
"19277","","","","","","","","","","","","","509.92","509.92","509.92","","",""
"19278","520.72","520.72","520.72","","","","","","","","","","","","","","",""
"19282","","","","529.79","529.79","529.79","","","","","","","","","","","",""
"19283","","","","","","","","","","415.91","415.91","415.91","","","","","",""
"19289","","","","","","","","","","","","","","","","547.29","547.29","547.29"
